% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.086154148e+006 +2.086154148e+006 +2.086190048e+006 +2.086190048e+006 +8.3534e-001 -2.7441e-001 +4.8518e+000 -4.8441e+000 +2.3410e+000 +2.1593e+000 -4.8632e-001 +3.7515e+000 +3.5168e+000 -1.6453e+000 +3.9674e+000 -2.5763e+000 +3.2507e+000 +2.9361e+000 +2.8660e+000 +3.1167e+000 +2.2129e+000 +2.7347e+000 +3.2683e+000 +1.5824e+000
3 +1.092924790e+006 +1.092924790e+006 +1.092960690e+006 +1.092960690e+006 +4.8698e+000 -8.0844e-001 -4.9524e+000 -4.3117e+000 -4.1292e+000 +1.0585e+000 +1.9841e+000 +2.4378e+000 -4.9967e+000 -3.3865e+000 -1.3522e+000 +1.6489e+000 +4.2468e+000 -1.8582e+000 +3.0502e+000 +3.3411e-002 +3.5340e+000 -6.0583e-001 -1.4237e-001 -2.5900e+000
4 +7.085070086e+005 +7.085070086e+005 +7.085429086e+005 +7.085429086e+005 +1.6700e+000 +2.0805e+000 +3.3839e-001 -3.2033e+000 +1.7963e+000 +2.6312e+000 +4.2497e+000 -3.8609e+000 -4.9461e+000 -3.5311e+000 +2.5153e+000 -4.9120e+000 -4.7549e+000 -3.3819e+000 +2.3154e+000 -3.9333e+000 -4.9670e+000 +4.6722e+000 -2.7545e+000 +1.8135e+000
149 +3.304373022e+005 +3.304373022e+005 +3.304732022e+005 +3.304732022e+005 +3.4858e+000 +2.2543e+000 +8.3078e+000 +1.0190e+000 -2.7965e-002 -2.0065e+000 -2.6297e+000 -3.0736e+000 +4.2443e+000 +9.6327e-002 -2.4292e+000 -1.4836e+000 -3.9094e+000 -1.5037e+000 -3.9359e+000 -3.5501e+000 +1.7236e+000 +7.4718e+000 -5.6909e-001 -3.4311e+000
153 +2.295033010e+005 +2.295033010e+005 +2.295392010e+005 +2.295392010e+005 +2.1173e+000 +3.7335e+000 +5.7660e+000 +5.9701e-001 +1.1425e+000 -1.2747e-001 -2.6137e+000 -2.6248e+000 +2.7475e+000 +3.1789e-001 -2.2880e+000 +1.8763e+000 -3.5404e+000 +9.0155e-002 -3.2264e+000 -2.3759e+000 +5.2177e-001 +6.5062e+000 -3.3890e+000 -1.2662e+000
218 +1.148322648e+005 +1.148322648e+005 +1.148681648e+005 +1.148681648e+005 +2.7425e+000 -4.2538e-001 +1.0136e+001 +3.5690e+000 -3.2670e+000 -7.2037e+000 -2.1939e+000 -3.8107e+000 +4.4924e+000 -2.8491e+000 -4.4393e+000 -6.7798e+000 -4.9501e+000 -3.1726e+000 -5.1617e+000 -5.4222e+000 +2.4930e+000 +9.3908e+000 +2.2211e+000 -6.6416e+000
284 +7.933598648e+004 +7.933598648e+004 +7.937188648e+004 +7.937188648e+004 +2.7106e+000 -1.3108e+000 +1.1213e+001 +4.1852e+000 -4.2704e+000 -8.6785e+000 -2.0959e+000 -4.2049e+000 +5.1102e+000 -3.6197e+000 -4.7165e+000 -8.3840e+000 -5.0452e+000 -4.0370e+000 -5.3712e+000 -6.3553e+000 +2.6990e+000 +1.0160e+001 +3.4345e+000 -7.6326e+000
287 +6.135658352e+004 +6.135658352e+004 +6.139248352e+004 +6.139248352e+004 +2.0966e+000 -1.9784e+000 +1.2417e+001 +4.6404e+000 -5.2542e+000 -9.7338e+000 -1.9843e+000 -4.9420e+000 +6.2853e+000 -4.5606e+000 -4.4036e+000 -8.8307e+000 -4.4868e+000 -5.1887e+000 -4.8968e+000 -7.9393e+000 +2.1554e+000 +1.1228e+001 +4.3533e+000 -7.8845e+000
352 +3.337193228e+004 +3.337193228e+004 +3.340783228e+004 +3.340783228e+004 -3.5862e-001 -1.3004e+000 +1.6136e+001 +6.9052e+000 -6.3507e+000 -1.0632e+001 -1.3535e+000 -6.8787e+000 +7.2066e+000 -6.3485e+000 -2.4161e+000 -1.0384e+001 -7.0101e-001 -5.9187e+000 -4.4554e+000 -7.1611e+000 -1.3199e+000 +1.6638e+001 +7.9043e+000 -1.0903e+001
353 +2.015243664e+004 +2.015243664e+004 +2.018833664e+004 +2.018833664e+004 +3.3790e-001 -1.4222e+000 +1.5058e+001 +6.2721e+000 -5.9799e+000 -1.0307e+001 -1.5286e+000 -6.3080e+000 +6.8657e+000 -5.7997e+000 -2.9644e+000 -9.9387e+000 -1.7423e+000 -5.6300e+000 -4.6113e+000 -7.2321e+000 -3.6145e-001 +1.5127e+001 +6.8943e+000 -1.0089e+001
