% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.303165054e+006 +1.303165054e+006 +1.303314204e+006 +1.303314204e+006
10 +9.237102662e+005 +9.237102662e+005 +9.238594162e+005 +9.238594162e+005
21 +4.189254848e+005 +4.189254848e+005 +4.190746348e+005 +4.190746348e+005
253 +2.388632945e+004 +2.388632945e+004 +2.403547945e+004 +2.403547945e+004
255 +1.389456395e+004 +1.389456395e+004 +1.404371395e+004 +1.404371395e+004
355 +4.100461801e+003 +4.100461801e+003 +4.249611801e+003 +4.249611801e+003
360 +3.961226455e+003 +3.961226455e+003 +4.110376455e+003 +4.110376455e+003
463 +2.266727324e+003 +2.266727324e+003 +2.415877324e+003 +2.415877324e+003
664 +1.462471317e+003 +1.462471317e+003 +1.611621317e+003 +1.611621317e+003
868 +9.732197742e+002 +9.732197742e+002 +1.122369774e+003 +1.122369774e+003
4277 +4.823584801e+002 +4.823584801e+002 +6.315084801e+002 +6.315084801e+002
4476 +3.606501234e+002 +3.606501234e+002 +5.098001234e+002 +5.098001234e+002
5578 +2.499966918e+002 +2.499966918e+002 +3.991466918e+002 +3.991466918e+002
6875 +1.525014208e+002 +1.525014208e+002 +3.016514208e+002 +3.016514208e+002
