% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.965048268e+005 +3.965048268e+005 +3.966286568e+005 +3.966286568e+005 -3.5535e+000 +5.9108e-001 +1.7255e+000 +3.2655e+000 -4.8810e+000 -3.3228e+000 +1.9049e+000 -1.0477e+000 +2.3788e+000 -1.4607e+000 -2.1994e-001 -4.6498e+000 -1.8294e+000 -1.3870e+000 -4.9887e+000 -3.8738e+000 +8.5557e-001 +3.0633e+000 -1.2671e-001 -4.5221e+000
10 +1.504495582e+005 +1.504495582e+005 +1.505733882e+005 +1.505733882e+005 -3.7888e+000 -3.6421e+000 +7.6965e-001 +2.6607e+000 -6.6651e-001 -6.9473e-001 +1.7464e+000 +3.7367e+000 -6.5034e-001 -3.2235e+000 +9.3657e-001 +1.2424e+000 -1.6413e+000 -4.3148e+000 -8.5055e-001 +3.1233e+000 -9.4520e-001 -4.8755e+000 -2.7430e+000 -2.9608e+000
798 +9.365055377e+004 +9.365055377e+004 +9.377438377e+004 +9.377438377e+004 -3.7888e+000 -4.6091e+000 +2.5242e+000 +2.6607e+000 -6.6651e-001 -6.9473e-001 +1.7464e+000 +3.7367e+000 -6.5034e-001 -3.2235e+000 +9.3657e-001 +1.2424e+000 -4.1902e-001 -4.3148e+000 -8.5055e-001 +3.1233e+000 -9.4520e-001 +6.7774e-001 +6.3943e-001 +1.0209e+000
