% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.396882480e+002 +4.396882480e+002 +4.304782480e+002 +4.304782480e+002 +8.3309e-001 -4.7041e-002 -2.4395e+000 -4.1824e+000 -2.0175e+000 +2.9331e+000 +2.3120e+000 -2.7337e+000 +5.9941e-001 -3.0848e+000 +2.6271e+000 -5.0299e-001 +1.5154e+000 -7.6983e-001 +1.8439e-001 +4.9257e+000 -4.3372e+000 +1.1149e+000 +1.9958e+000 +2.4694e+000
3 +3.298758066e+002 +3.298758066e+002 +3.206658066e+002 +3.206658066e+002 -4.3843e+000 +2.4389e+000 +2.1176e+000 +3.3497e+000 +7.7985e-001 -2.5452e+000 -3.8696e+000 -2.4320e+000 -2.9767e+000 -4.5805e+000 -4.0002e+000 -4.3073e+000 -7.2493e-001 +1.0615e-001 -1.7105e+000 +4.7423e+000 +4.8215e+000 +3.0450e+000 -4.3396e+000 -2.5821e+000
72 +7.090797065e+001 +7.090797065e+001 +6.169797065e+001 +6.169797065e+001 -6.1420e+000 +5.3296e-001 +7.8219e+000 +4.0651e+000 -8.1505e+000 +6.3089e+000 +2.1616e+000 -1.2115e-001 -4.5028e-001 +2.1139e+000 -9.1328e+000 -8.2157e+000 +5.7733e+000 +6.6926e+000 -1.7827e+001 -1.0722e+001 +9.2675e+000 +1.3072e+001 -2.7889e+001 +6.7848e+000
73 +4.842192311e+001 +4.842192311e+001 +3.921192311e+001 +3.921192311e+001 -5.3821e+000 +1.3907e+000 +8.7902e+000 +5.1581e+000 -8.1505e+000 +6.3089e+000 +3.7339e+000 +1.6537e+000 +1.5533e+000 -1.4774e-001 -9.1328e+000 -1.1098e+001 +5.7733e+000 +1.0365e+001 -2.1973e+001 -1.5401e+001 +1.4550e+001 +1.9035e+001 -3.4620e+001 +6.7848e+000
74 +1.685898513e+001 +1.685898513e+001 +7.648985127e+000 +7.648985127e+000 -4.1526e+000 +2.7787e+000 +1.0357e+001 +6.9267e+000 -8.1505e+000 +6.3089e+000 +6.2779e+000 +4.5255e+000 +4.7950e+000 -3.8072e+000 -9.1328e+000 -1.5761e+001 +5.7733e+000 +1.6307e+001 -2.8681e+001 -2.2973e+001 +2.3098e+001 +2.8684e+001 -4.5512e+001 +6.7848e+000
75 +3.254075065e+000 +3.254075065e+000 -5.955924935e+000 -5.955924935e+000 +1.7459e+000 +9.4371e+000 +1.7873e+001 +1.5411e+001 -8.1505e+000 +6.3089e+000 +1.8483e+001 +1.8303e+001 +2.0347e+001 -2.1363e+001 -9.1328e+000 -3.8132e+001 +5.7733e+000 +4.4814e+001 -6.0860e+001 -5.9299e+001 +6.4104e+001 +7.4973e+001 -9.7765e+001 +6.7848e+000
76 -3.552713679e-014 -3.552713679e-014 -9.210000000e+000 -9.210000000e+000 +1.1290e+001 +2.0211e+001 +3.0035e+001 +2.9140e+001 -8.1505e+000 +6.3089e+000 +3.8231e+001 +4.0595e+001 +4.5511e+001 -4.9769e+001 -9.1328e+000 -7.4329e+001 +5.7733e+000 +9.0940e+001 -1.1293e+002 -1.1808e+002 +1.3045e+002 +1.4987e+002 -1.8231e+002 +6.7848e+000
