% function evaluation | noise-free fitness - Fopt (-6.211100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.557983933e+009 +3.557983933e+009 +3.557983312e+009 +3.557983312e+009 +3.4441e+000 +3.4802e+000 +4.2890e+000 -3.6914e+000 +4.5140e+000 +4.0152e+000 -2.5550e+000 -5.2124e-004 +4.9681e+000 +4.8275e+000 -6.0498e-001 -2.2899e+000 -6.0376e-001 -2.6577e+000 -2.5084e+000 -2.0021e+000 -1.9733e+000 +1.1510e+000 +3.8174e-001 +4.7762e+000
3 +1.084587723e+009 +1.084587723e+009 +1.084587102e+009 +1.084587102e+009 +3.0311e+000 -5.6573e-001 +3.7690e+000 -4.2258e+000 +6.7790e-001 +5.7786e-001 -1.8420e+000 -1.5662e+000 -8.1372e-001 -2.2907e+000 +4.4002e+000 +3.6022e+000 +1.8366e-001 +1.1332e+000 +3.0160e+000 -2.1386e-001 -4.8132e+000 -3.9064e+000 -5.7730e-001 -1.8656e+000
4 +7.319889670e+008 +7.319889670e+008 +7.319883459e+008 +7.319883459e+008 +2.2559e+000 +3.2559e-001 -4.1462e+000 +1.4519e+000 -8.4355e-001 -4.2591e+000 +2.5176e+000 +2.7838e+000 -2.5787e+000 +3.9487e-001 +1.6435e+000 -1.2083e+000 -9.3133e-001 -3.8543e+000 +1.7638e+000 -2.5371e+000 +4.4214e+000 -1.7698e-001 +4.6584e+000 +2.9458e+000
14 +4.534356528e+008 +4.534356528e+008 +4.534350316e+008 +4.534350316e+008 +3.4158e-001 +4.8514e+000 +2.1516e+000 -3.2776e-001 -5.5621e-001 -9.2468e-001 +4.7615e+000 -2.6784e+000 +1.6715e+000 -7.2463e-001 -4.1240e-001 -3.7801e+000 +4.9599e+000 -4.8966e+000 +4.5344e+000 +2.0657e+000 -1.3725e+000 -2.4833e+000 -1.7763e+000 +3.5064e+000
50 +3.173178961e+008 +3.173178961e+008 +3.173172750e+008 +3.173172750e+008 +3.4158e-001 -3.3445e-001 +2.1516e+000 -3.2776e-001 -4.7909e+000 -2.7246e+000 -1.4700e+000 -4.2982e+000 -3.3987e+000 -1.6471e-001 -7.4603e-001 +3.8922e+000 +2.2328e+000 +1.7261e+000 +1.6076e+000 -2.6987e+000 +3.1791e+000 +2.3473e+000 +2.6617e+000 -2.3580e+000
384 +1.726993733e+008 +1.726993733e+008 +1.726987522e+008 +1.726987522e+008 -8.1226e-001 +4.8514e+000 +2.1516e+000 -3.2776e-001 -5.5621e-001 -9.2468e-001 +4.7615e+000 -2.6784e+000 +1.6715e+000 -7.2463e-001 -4.1240e-001 +3.8922e+000 +2.2328e+000 +3.7836e+000 -2.5084e+000 -2.0021e+000 +1.2668e-002 +1.1510e+000 +3.8174e-001 +4.7762e+000
471 +1.445988523e+008 +1.445988523e+008 +1.445982312e+008 +1.445982312e+008 +3.8964e+000 +4.8514e+000 +2.1516e+000 -3.2776e-001 -5.5621e-001 -1.8480e+000 +4.7615e+000 -2.6784e+000 +1.6715e+000 -7.2463e-001 -4.1240e-001 +3.8922e+000 +2.2328e+000 +3.7836e+000 -5.2057e-001 -2.0021e+000 +1.2668e-002 +1.1510e+000 +3.8174e-001 +4.7762e+000
