% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.145554063e+007 +6.145554063e+007 +6.145533075e+007 +6.145533075e+007
2 +2.093684464e+007 +2.093684464e+007 +2.093663476e+007 +2.093663476e+007
13 +1.339030384e+007 +1.339030384e+007 +1.339009396e+007 +1.339009396e+007
138 +7.140669592e+006 +7.140669592e+006 +7.140459712e+006 +7.140459712e+006
238 +5.123398264e+006 +5.123398264e+006 +5.123188384e+006 +5.123188384e+006
336 +3.409783913e+006 +3.409783913e+006 +3.409574033e+006 +3.409574033e+006
438 +1.942324751e+006 +1.942324751e+006 +1.942114871e+006 +1.942114871e+006
533 +1.341630664e+006 +1.341630664e+006 +1.341420784e+006 +1.341420784e+006
744 +8.231722275e+005 +8.231722275e+005 +8.229623475e+005 +8.229623475e+005
846 +5.985782613e+005 +5.985782613e+005 +5.983683813e+005 +5.983683813e+005
942 +3.818502532e+005 +3.818502532e+005 +3.816403732e+005 +3.816403732e+005
1251 +2.467728589e+005 +2.467728589e+005 +2.465629789e+005 +2.465629789e+005
2545 +1.509886007e+005 +1.509886007e+005 +1.507787207e+005 +1.507787207e+005
2743 +8.943994555e+004 +8.943994555e+004 +8.923006555e+004 +8.923006555e+004
3152 +6.051966597e+004 +6.051966597e+004 +6.030978597e+004 +6.030978597e+004
3449 +3.824670574e+004 +3.824670574e+004 +3.803682574e+004 +3.803682574e+004
3546 +2.306072581e+004 +2.306072581e+004 +2.285084581e+004 +2.285084581e+004
3844 +1.458405720e+004 +1.458405720e+004 +1.437417720e+004 +1.437417720e+004
4136 +8.730895980e+003 +8.730895980e+003 +8.521015980e+003 +8.521015980e+003
4335 +5.567769478e+003 +5.567769478e+003 +5.357889478e+003 +5.357889478e+003
4542 +3.362415647e+003 +3.362415647e+003 +3.152535647e+003 +3.152535647e+003
4640 +2.371435226e+003 +2.371435226e+003 +2.161555226e+003 +2.161555226e+003
4846 +1.353219383e+003 +1.353219383e+003 +1.143339383e+003 +1.143339383e+003
5045 +6.318370242e+002 +6.318370242e+002 +4.219570242e+002 +4.219570242e+002
5051 +6.308521266e+002 +6.308521266e+002 +4.209721266e+002 +4.209721266e+002
35971 +3.146270706e+002 +3.146270706e+002 +1.047470706e+002 +1.047470706e+002
36071 +2.494305694e+002 +2.494305694e+002 +3.955056943e+001 +3.955056943e+001
36170 +1.519153754e+002 +1.519153754e+002 -5.796462460e+001 -5.796462460e+001
36369 +7.445776602e+001 +7.445776602e+001 -1.354222340e+002 -1.354222340e+002
67609 +4.931796247e+001 +4.931796247e+001 -1.605620375e+002 -1.605620375e+002
83011 +3.246883953e+001 +3.246883953e+001 -1.774111605e+002 -1.774111605e+002
83018 +2.457577701e+001 +2.457577701e+001 -1.853042230e+002 -1.853042230e+002
83116 +1.369350910e+001 +1.369350910e+001 -1.961864909e+002 -1.961864909e+002
83222 +9.126241582e+000 +9.126241582e+000 -2.007537584e+002 -2.007537584e+002
