% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.347206114e+009 +3.347206114e+009 +3.347205904e+009 +3.347205904e+009 +3.6835e+001 +1.9553e+001 +1.1720e+001 +1.1850e+001 +3.7199e+001 +4.9165e+001 +4.7277e+001 +3.0454e+001 +3.6968e+001 +3.0230e+001 +1.9052e+001 +3.3663e+001 +4.0038e+001 +3.8019e+001 +4.9247e+001 +3.6030e+001 +2.0479e+001 +4.7909e+001 +2.7611e+001 +4.8788e+001
2 +2.353628060e+009 +2.353628060e+009 +2.353627850e+009 +2.353627850e+009 +3.9041e+001 +2.9253e+001 +4.2042e+001 +3.0840e+001 +4.3558e+001 +2.9177e+001 +4.0838e+001 +4.8490e+001 +4.1515e+001 +2.7032e+001 +2.1775e+001 +3.8548e+001 +1.2134e+001 +2.5907e+001 +1.7873e+001 +1.5772e+001 +4.5714e+001 +2.4510e+001 +2.5729e+001 +4.3134e+001
3 +7.727428675e+008 +7.727428675e+008 +7.727426576e+008 +7.727426576e+008 +3.9523e+001 +2.0891e+001 +3.9495e+001 +3.2171e+001 +4.2416e+001 +3.8901e+001 +3.2069e+001 +2.0767e+001 +2.4464e+001 +1.8943e+001 +2.4783e+001 +2.6934e+001 +1.3193e+001 +3.6471e+001 +2.7867e+001 +1.9765e+001 +2.4677e+001 +2.4886e+001 +1.6164e+001 +2.2484e+001
140 +6.282817707e+008 +6.282817707e+008 +6.282815609e+008 +6.282815609e+008 +3.6835e+001 +1.9553e+001 +1.1720e+001 +1.1850e+001 +3.7199e+001 +4.9158e+001 +4.7263e+001 +3.0448e+001 +3.6945e+001 +3.0163e+001 +1.9028e+001 +3.3590e+001 +3.9781e+001 +3.6890e+001 +4.3992e+001 +3.1521e+001 +1.2332e+001 +3.0667e+001 -2.0025e+001 -7.1866e+000
201 +1.808532090e+008 +1.808532090e+008 +1.808529991e+008 +1.808529991e+008 +3.6835e+001 +1.9553e+001 +1.1720e+001 +1.1849e+001 +3.7198e+001 +4.9148e+001 +4.7244e+001 +3.0439e+001 +3.6912e+001 +3.0067e+001 +1.8994e+001 +3.3487e+001 +3.9435e+001 +3.5487e+001 +3.6806e+001 +2.7973e+001 +1.1342e+001 +1.3305e+001 -3.6952e+000 -1.2729e+000
202 +1.333720533e+008 +1.333720533e+008 +1.333718434e+008 +1.333718434e+008 +3.6835e+001 +1.9553e+001 +1.1720e+001 +1.1849e+001 +3.7197e+001 +4.9138e+001 +4.7225e+001 +3.0430e+001 +3.6880e+001 +2.9976e+001 +1.8962e+001 +3.3388e+001 +3.9100e+001 +3.4108e+001 +2.9853e+001 +2.4143e+001 +9.0038e+000 -2.5760e+000 -4.6493e+000 +1.3932e+000
261 +8.867447752e+007 +8.867447752e+007 +8.867426764e+007 +8.867426764e+007 +3.6835e+001 +1.9553e+001 +1.1720e+001 +1.1849e+001 +3.7196e+001 +4.9124e+001 +4.7197e+001 +3.0417e+001 +3.6834e+001 +2.9836e+001 +1.8916e+001 +3.3236e+001 +3.8672e+001 +3.2843e+001 +2.5698e+001 +1.5533e+001 -1.6705e+000 -6.0853e+000 -3.9209e+000 +2.5785e+000
323 +3.397202009e+007 +3.397202009e+007 +3.397181021e+007 +3.397181021e+007 +3.6835e+001 +1.9552e+001 +1.1719e+001 +1.1848e+001 +3.7189e+001 +4.9054e+001 +4.7064e+001 +3.0354e+001 +3.6609e+001 +2.9146e+001 +1.8696e+001 +3.2478e+001 +3.6687e+001 +2.7048e+001 -1.1406e+001 -3.6128e+000 -9.5198e+000 -3.6279e-001 -2.3516e+000 +2.2723e+000
382 +2.265967332e+007 +2.265967332e+007 +2.265946344e+007 +2.265946344e+007 +3.6834e+001 +1.9552e+001 +1.1719e+001 +1.1847e+001 +3.7185e+001 +4.9003e+001 +4.6967e+001 +3.0306e+001 +3.6453e+001 +2.8583e+001 +1.8564e+001 +3.1767e+001 +3.5662e+001 +2.0223e+001 -8.0001e+000 -8.8770e+000 -5.4298e+000 -4.3825e-001 -2.5352e+000 +2.1339e+000
8329 +1.457319692e+007 +1.457319692e+007 +1.457298704e+007 +1.457298704e+007 +3.6834e+001 +1.9551e+001 +1.1718e+001 +1.1844e+001 +3.7175e+001 +4.8895e+001 +4.6764e+001 +3.0203e+001 +3.6141e+001 +2.7291e+001 +1.8326e+001 +2.9503e+001 +3.2639e+001 +1.4205e+001 -3.9690e+000 -2.7180e+000 -2.3081e+000 +2.2595e+000 -3.1124e+000 +1.8784e+000
8449 +9.200143027e+006 +9.200143027e+006 +9.199933147e+006 +9.199933147e+006 +3.6833e+001 +1.9549e+001 +1.1717e+001 +1.1840e+001 +3.7157e+001 +4.8687e+001 +4.6376e+001 +3.0000e+001 +3.5563e+001 +2.4738e+001 +1.7916e+001 +2.3038e+001 +2.2171e+001 +7.7820e+000 +2.3306e+000 +8.0905e-001 -3.0694e+000 +8.6253e-001 -7.3478e-001 +1.7647e+000
9068 +5.816249217e+006 +5.816249217e+006 +5.816039337e+006 +5.816039337e+006 +3.9519e+001 +2.0884e+001 +3.9485e+001 +3.2145e+001 +4.2300e+001 +3.8807e+001 +3.1828e+001 +2.0178e+001 +2.2035e+001 +1.8661e+001 +1.7622e+001 +1.5271e+001 +9.2879e+000 +7.9497e+000 -3.4163e+000 +3.6700e-001 -3.4872e-001 +1.5604e+000 -2.4423e+000 +2.5758e+000
9132 +3.949015250e+006 +3.949015250e+006 +3.948805370e+006 +3.948805370e+006 +3.9518e+001 +2.0884e+001 +3.9485e+001 +3.2144e+001 +4.2295e+001 +3.8803e+001 +3.1818e+001 +2.0158e+001 +2.1949e+001 +1.8647e+001 +1.7602e+001 +1.4930e+001 +9.0838e+000 +7.5010e+000 -3.1943e+000 -1.0914e+000 -1.9978e+000 +4.2438e+000 -2.8371e+000 +2.2578e+000
9253 +2.468037681e+006 +2.468037681e+006 +2.467827801e+006 +2.467827801e+006 +3.9517e+001 +2.0882e+001 +3.9482e+001 +3.2137e+001 +4.2267e+001 +3.8781e+001 +3.1754e+001 +2.0036e+001 +2.1428e+001 +1.8562e+001 +1.7477e+001 +1.2524e+001 +7.9980e+000 +5.3384e+000 -1.6766e+000 -4.7598e+000 -3.6045e+000 +2.5014e+000 -2.7961e+000 +2.3875e+000
17097 +1.526994507e+006 +1.526994507e+006 +1.526784627e+006 +1.526784627e+006 +3.9515e+001 +2.0879e+001 +3.9477e+001 +3.2124e+001 +4.2210e+001 +3.8734e+001 +3.1623e+001 +1.9794e+001 +2.0414e+001 +1.8384e+001 +1.7224e+001 +8.1456e+000 +5.8932e+000 -5.4126e-001 +2.2589e-001 -5.3560e+000 -3.4080e+000 +2.4400e+000 -2.6153e+000 +1.6488e+000
17395 +9.252715107e+005 +9.252715107e+005 +9.250616307e+005 +9.250616307e+005 +3.9508e+001 +2.0867e+001 +3.9460e+001 +3.2076e+001 +4.2007e+001 +3.8572e+001 +3.1120e+001 +1.9054e+001 +1.7843e+001 +1.7515e+001 +1.6128e+001 +2.3791e+000 +3.4572e+000 -2.4087e+000 -1.1457e+000 -3.9584e+000 -3.4635e+000 +2.9284e+000 -2.2772e+000 +1.9189e+000
