% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.000751638e+009 +3.000751638e+009 +3.000751428e+009 +3.000751428e+009
3 +1.395557871e+009 +1.395557871e+009 +1.395557661e+009 +1.395557661e+009
216 +6.462570014e+008 +6.462570014e+008 +6.462567915e+008 +6.462567915e+008
314 +3.245351225e+008 +3.245351225e+008 +3.245349127e+008 +3.245349127e+008
414 +2.188246276e+008 +2.188246276e+008 +2.188244177e+008 +2.188244177e+008
612 +1.577149310e+008 +1.577149310e+008 +1.577147211e+008 +1.577147211e+008
13770 +9.269108394e+007 +9.269108394e+007 +9.269087406e+007 +9.269087406e+007
13965 +6.069071034e+007 +6.069071034e+007 +6.069050046e+007 +6.069050046e+007
14163 +3.833892198e+007 +3.833892198e+007 +3.833871210e+007 +3.833871210e+007
14948 +2.016369821e+007 +2.016369821e+007 +2.016348833e+007 +2.016348833e+007
28066 +1.253798078e+007 +1.253798078e+007 +1.253777090e+007 +1.253777090e+007
28266 +9.870410468e+006 +9.870410468e+006 +9.870200588e+006 +9.870200588e+006
