% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.789130607e+009 +3.789130607e+009 +3.789130397e+009 +3.789130397e+009
6 +2.375773836e+009 +2.375773836e+009 +2.375773626e+009 +2.375773626e+009
121 +1.154979419e+009 +1.154979419e+009 +1.154979209e+009 +1.154979209e+009
122 +9.201891161e+008 +9.201891161e+008 +9.201889063e+008 +9.201889063e+008
321 +2.995361591e+008 +2.995361591e+008 +2.995359493e+008 +2.995359493e+008
422 +1.871532909e+008 +1.871532909e+008 +1.871530810e+008 +1.871530810e+008
423 +1.558269187e+008 +1.558269187e+008 +1.558267088e+008 +1.558267088e+008
4023 +9.998303797e+007 +9.998303797e+007 +9.998282809e+007 +9.998282809e+007
14002 +5.170281707e+007 +5.170281707e+007 +5.170260719e+007 +5.170260719e+007
14978 +3.907581339e+007 +3.907581339e+007 +3.907560351e+007 +3.907560351e+007
17027 +2.110945507e+007 +2.110945507e+007 +2.110924519e+007 +2.110924519e+007
30247 +1.426967311e+007 +1.426967311e+007 +1.426946323e+007 +1.426946323e+007
30654 +9.837426269e+006 +9.837426269e+006 +9.837216389e+006 +9.837216389e+006
