% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.973667518e+009 +1.973667518e+009 +1.973667309e+009 +1.973667309e+009 +4.0666e+001 +2.0759e+001 +4.4763e+001 +3.8195e+001 +4.5810e+001 +3.9010e+001 +4.6597e+001 +3.1284e+001 +3.0967e+001 +1.0133e+001 +1.1084e+001 +1.3377e+001 +1.2723e+001 +3.9469e+001 +1.1415e+001 +3.9700e+001 +2.1116e+001 +2.1422e+001 +3.2512e+001 +3.7511e+001
2 +1.559011465e+009 +1.559011465e+009 +1.559011255e+009 +1.559011255e+009 +1.7485e+001 +3.4491e+001 +2.5150e+001 +4.6189e+001 +3.6917e+001 +3.2811e+001 +3.4886e+001 +1.1513e+001 +3.9581e+001 +2.1635e+001 +4.7382e+001 +4.6507e+001 +4.1403e+001 +4.8151e+001 +4.5965e+001 +2.8304e+001 +4.6880e+001 +3.9203e+001 +3.7781e+001 +1.3792e+001
79 +4.467739878e+008 +4.467739878e+008 +4.467737779e+008 +4.467737779e+008 +4.0665e+001 +2.0759e+001 +4.4762e+001 +3.8194e+001 +4.5807e+001 +3.9007e+001 +4.6580e+001 +3.1278e+001 +3.0956e+001 +1.0119e+001 +1.1031e+001 +1.3156e+001 +1.2639e+001 +3.7542e+001 +9.3338e+000 +2.8565e+001 +2.7763e+000 +1.5507e+001 +1.3415e+001 -1.0632e+001
80 +3.118194263e+008 +3.118194263e+008 +3.118192164e+008 +3.118192164e+008 +4.0665e+001 +2.0759e+001 +4.4763e+001 +3.8195e+001 +4.5807e+001 +3.9008e+001 +4.6584e+001 +3.1279e+001 +3.0959e+001 +1.0122e+001 +1.1043e+001 +1.3206e+001 +1.2658e+001 +3.7978e+001 +9.8046e+000 +3.1084e+001 +6.9245e+000 +1.6845e+001 +1.7735e+001 +2.5731e-001
140 +2.328269510e+008 +2.328269510e+008 +2.328267411e+008 +2.328267411e+008 +4.0665e+001 +2.0759e+001 +4.4761e+001 +3.8194e+001 +4.5801e+001 +3.9004e+001 +4.6558e+001 +3.1270e+001 +3.0942e+001 +1.0100e+001 +1.0964e+001 +1.2881e+001 +1.2531e+001 +3.5522e+001 +7.1076e+000 +2.4522e+001 -2.8287e+000 -3.7415e+000 -1.6806e+001 -4.0608e+000
141 +1.043948314e+008 +1.043948314e+008 +1.043946215e+008 +1.043946215e+008 +4.0665e+001 +2.0759e+001 +4.4762e+001 +3.8194e+001 +4.5804e+001 +3.9006e+001 +4.6569e+001 +3.1274e+001 +3.0949e+001 +1.0109e+001 +1.0998e+001 +1.3021e+001 +1.2586e+001 +3.6573e+001 +8.2633e+000 +2.7242e+001 +1.1867e+000 +5.2313e+000 -1.8901e+000 -2.8901e+000
203 +5.742530928e+007 +5.742530928e+007 +5.742509940e+007 +5.742509940e+007 +4.0665e+001 +2.0759e+001 +4.4761e+001 +3.8193e+001 +4.5798e+001 +3.9002e+001 +4.6542e+001 +3.1263e+001 +3.0932e+001 +1.0085e+001 +1.0917e+001 +1.2694e+001 +1.2455e+001 +3.4570e+001 +6.8747e+000 +2.0389e+001 -6.7251e+000 +4.5748e+000 -2.6493e+000 +8.6448e-002
262 +3.453428361e+007 +3.453428361e+007 +3.453407373e+007 +3.453407373e+007 +4.0664e+001 +2.0758e+001 +4.4755e+001 +3.8190e+001 +4.5766e+001 +3.8984e+001 +4.6404e+001 +3.1213e+001 +3.0845e+001 +9.9653e+000 +1.0533e+001 +1.1234e+001 +1.1805e+001 +2.7824e+001 +1.4969e+000 -1.2794e+001 -8.7577e+000 +2.8630e+000 -2.2340e+000 +5.4618e+000
323 +2.474355184e+007 +2.474355184e+007 +2.474334196e+007 +2.474334196e+007 +4.0664e+001 +2.0758e+001 +4.4756e+001 +3.8190e+001 +4.5772e+001 +3.8988e+001 +4.6429e+001 +3.1222e+001 +3.0860e+001 +9.9857e+000 +1.0609e+001 +1.1563e+001 +1.1905e+001 +2.9007e+001 +2.6309e+000 -2.3039e-002 -9.7537e+000 +1.6672e+000 -1.1755e+000 +3.6637e+000
382 +1.080899937e+007 +1.080899937e+007 +1.080878949e+007 +1.080878949e+007 +4.0661e+001 +2.0754e+001 +4.4738e+001 +3.8178e+001 +4.5667e+001 +3.8928e+001 +4.5976e+001 +3.1051e+001 +3.0569e+001 +9.5677e+000 +9.5119e+000 +8.2946e+000 +9.4122e+000 +6.9422e+000 -9.6516e+000 +6.6793e-001 -7.5167e+000 +1.9419e+000 -5.4471e-001 +3.3059e+000
7187 +9.845738925e+006 +9.845738925e+006 +9.845529045e+006 +9.845529045e+006 +4.2768e+001 +3.2171e+001 +4.4657e+001 +4.3245e+001 +1.6666e+001 +4.2379e+001 +2.4471e+001 +1.4122e+001 +2.6603e+001 +4.0278e+001 +1.7927e+001 +3.7964e+001 +1.1547e+001 +3.9928e+000 +1.4711e+000 -7.4751e+000 -6.3306e+000 +3.8575e+000 -4.0431e+000 +2.1083e+000
8173 +6.213157707e+006 +6.213157707e+006 +6.212947827e+006 +6.212947827e+006 +4.0661e+001 +2.0754e+001 +4.4739e+001 +3.8179e+001 +4.5672e+001 +3.8930e+001 +4.5995e+001 +3.1057e+001 +3.0580e+001 +9.5816e+000 +9.5716e+000 +8.4534e+000 +9.4766e+000 +8.1563e+000 -8.3146e+000 +4.3622e-002 -6.5161e+000 +2.9580e+000 -3.1643e+000 +2.6687e+000
8231 +3.909299740e+006 +3.909299740e+006 +3.909089860e+006 +3.909089860e+006 +4.0661e+001 +2.0754e+001 +4.4738e+001 +3.8178e+001 +4.5663e+001 +3.8926e+001 +4.5960e+001 +3.1043e+001 +3.0555e+001 +9.5403e+000 +9.5307e+000 +8.2726e+000 +9.1937e+000 +7.4871e+000 -7.0540e+000 -1.7221e+000 -3.2961e+000 +3.8183e+000 -2.8021e+000 +1.1068e+000
8353 +2.102734139e+006 +2.102734139e+006 +2.102524259e+006 +2.102524259e+006 +4.0659e+001 +2.0751e+001 +4.4726e+001 +3.8170e+001 +4.5599e+001 +3.8889e+001 +4.5689e+001 +3.0929e+001 +3.0356e+001 +9.2090e+000 +9.2134e+000 +6.7734e+000 +7.4272e+000 +4.4404e+000 -6.6912e-001 -4.1040e+000 -4.4488e+000 +2.5717e+000 -2.9796e+000 +1.5776e+000
8472 +1.548937790e+006 +1.548937790e+006 +1.548727910e+006 +1.548727910e+006 +4.0658e+001 +2.0750e+001 +4.4719e+001 +3.8166e+001 +4.5558e+001 +3.8867e+001 +4.5522e+001 +3.0856e+001 +3.0226e+001 +8.9936e+000 +9.0145e+000 +6.0411e+000 +6.6103e+000 +2.0016e+000 +2.1032e-001 -2.8451e+000 -4.1439e+000 +2.6868e+000 -2.8895e+000 +1.8620e+000
16555 +9.639271903e+005 +9.639271903e+005 +9.637173103e+005 +9.637173103e+005 +4.0652e+001 +2.0743e+001 +4.4689e+001 +3.8145e+001 +4.5385e+001 +3.8770e+001 +4.4824e+001 +3.0523e+001 +2.9616e+001 +8.0656e+000 +8.0186e+000 +4.1239e+000 +4.8038e+000 -2.4170e+000 -1.1716e+000 -3.4776e+000 -3.8011e+000 +2.8407e+000 -2.3135e+000 +1.9021e+000
