% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.231547751e+009 +1.231547751e+009 +1.231547541e+009 +1.231547541e+009 +4.9501e+001 +2.7244e+001 +4.7943e+001 +4.2835e+001 +3.6493e+001 +2.6307e+001 +2.8663e+001 +3.4742e+001 +4.3566e+001 +1.8871e+001 +2.5166e+001 +2.1377e+001 +2.4119e+001 +4.6683e+001 +4.0664e+001 +1.9895e+001 +3.1029e+001 +2.7871e+001 +3.1918e+001 +2.0479e+001
2 +9.512092995e+008 +9.512092995e+008 +9.512090897e+008 +9.512090897e+008 +1.5677e+001 +2.2982e+001 +4.3427e+001 +2.7210e+001 +2.8790e+001 +1.4110e+001 +2.7878e+001 +3.5701e+001 +4.2176e+001 +4.0976e+001 +2.3100e+001 +1.6433e+001 +2.6870e+001 +4.4579e+001 +2.5395e+001 +1.7641e+001 +1.5918e+001 +4.2019e+001 +2.4875e+001 +1.2707e+001
80 +5.855078864e+008 +5.855078864e+008 +5.855076766e+008 +5.855076766e+008 +4.9501e+001 +2.7244e+001 +4.7942e+001 +4.2834e+001 +3.6492e+001 +2.6301e+001 +2.8651e+001 +3.4735e+001 +4.3486e+001 +1.8864e+001 +2.4916e+001 +2.1191e+001 +2.3679e+001 +4.3166e+001 +3.5636e+001 +1.0839e+001 +2.7134e+001 -1.3480e+001 +1.4461e+001 -1.0568e+001
142 +2.953723295e+008 +2.953723295e+008 +2.953721196e+008 +2.953721196e+008 +4.9501e+001 +2.7244e+001 +4.7942e+001 +4.2833e+001 +3.6492e+001 +2.6298e+001 +2.8645e+001 +3.4732e+001 +4.3451e+001 +1.8861e+001 +2.4808e+001 +2.1115e+001 +2.3511e+001 +4.1760e+001 +3.4360e+001 +1.0239e+001 +2.4925e+001 -1.2693e+001 -2.7534e+000 -5.7264e+000
204 +1.997370469e+008 +1.997370469e+008 +1.997368370e+008 +1.997368370e+008 +4.9501e+001 +2.7244e+001 +4.7941e+001 +4.2833e+001 +3.6492e+001 +2.6295e+001 +2.8638e+001 +3.4729e+001 +4.3407e+001 +1.8858e+001 +2.4674e+001 +2.1022e+001 +2.3310e+001 +4.0158e+001 +3.2937e+001 +7.0631e+000 +1.8740e+001 -1.6378e+001 -1.3969e+000 -7.5453e-001
262 +1.523000002e+008 +1.523000002e+008 +1.522997903e+008 +1.522997903e+008 +4.9500e+001 +2.7243e+001 +4.7938e+001 +4.2829e+001 +3.6489e+001 +2.6277e+001 +2.8601e+001 +3.4709e+001 +4.3178e+001 +1.8837e+001 +2.3977e+001 +2.0561e+001 +2.2386e+001 +3.3364e+001 +2.7988e+001 -2.1411e+000 +1.6894e+000 -1.2921e+001 -4.3106e+000 -4.3109e+000
669 +9.487370174e+007 +9.487370174e+007 +9.487349186e+007 +9.487349186e+007 +1.5676e+001 +2.2979e+001 +4.3420e+001 +2.7192e+001 +2.8757e+001 +1.4078e+001 +2.7716e+001 +3.5598e+001 +4.1338e+001 +4.0146e+001 +2.0985e+001 +1.5003e+001 +1.8568e+001 +1.8916e+001 +4.2827e+000 -9.0422e+000 -2.6244e+001 +6.1440e-001 -1.1894e+000 +7.3067e+000
670 +5.466593069e+007 +5.466593069e+007 +5.466572081e+007 +5.466572081e+007 +1.5676e+001 +2.2980e+001 +4.3423e+001 +2.7199e+001 +2.8770e+001 +1.4090e+001 +2.7778e+001 +3.5637e+001 +4.1658e+001 +4.0462e+001 +2.1785e+001 +1.5560e+001 +2.1583e+001 +2.7896e+001 +9.8410e+000 +7.0086e-001 -8.4024e+000 +2.5757e+000 -3.0901e+000 +7.3976e+000
729 +3.817594325e+007 +3.817594325e+007 +3.817573337e+007 +3.817573337e+007 +1.5676e+001 +2.2978e+001 +4.3418e+001 +2.7187e+001 +2.8748e+001 +1.4070e+001 +2.7671e+001 +3.5570e+001 +4.1120e+001 +3.9943e+001 +2.0594e+001 +1.4332e+001 +1.8816e+001 +1.4917e+001 -6.1035e+000 -1.2929e+001 -1.0014e+001 +5.4294e+000 -1.6426e+000 +6.2330e+000
1876 +1.425542462e+007 +1.425542462e+007 +1.425521474e+007 +1.425521474e+007 +2.6144e+001 +2.7012e+001 +3.8748e+001 +1.5581e+001 +2.1540e+001 +1.4731e+001 +1.6114e+001 +4.2605e+001 +3.5013e+001 +4.1681e+001 +1.7312e+001 +1.0914e+001 +2.1583e+001 +4.9957e+000 +1.2283e+001 -3.1524e-001 -4.9628e+000 +6.4473e+000 -2.7607e+000 +1.7102e+000
